stop_name,latitude,longitude
Kochambalam,10.1135538,76.2432222
Kaitharam,10.1164505,76.2418757
Kaitharam,10.1163818,76.2420098
Old Post Office,10.120938,76.2400089
Old Post Office,10.1209063,76.2399137
Pulprapady,10.1222766,76.2397921
Pulprapady,10.1222885,76.2398726
Athani,10.1308502,76.2333698
Athani,10.1308431,76.233451
Thonniyakavu South,10.1354193,76.231515
Thonniyakavu South,10.1354637,76.2314152
Thonniyakavu,10.1367189,76.2305049
Thonniyakavu,10.1366515,76.2305728
Thekke Naaluvazhi,10.1400175,76.2296737
KMK Junction,10.143904,76.2278464
Kottuvally south,10.0915705,76.2546386
Kottuvally North,10.1110757,76.2440611
Pattanam kavala,10.1565203,76.2134604
Pattanam kavala,10.1563368,76.2135261
Munanmbam kavala,10.1586462,76.2133006
Munanmbam kavala,10.1587494,76.2132491
Chittattukara,10.1516558,76.2144783
Chittattukara,10.1515766,76.214316
Kottakavu Palli,10.1501046,76.2169131
Kottakavu Palli,10.1499449,76.2169728
Municipal Junction,10.1492697,76.2182656
,10.1501112,76.2208566
Maharaja's Ground,9.973006,76.2849292
Bypass,10.1107292,76.3503832
Malikampeedika,10.1276728,76.3076787
Manakkapadi,10.1372887,76.2687526
Anachal,10.1417417,76.2627253
Mannam Kavala,10.1491706,76.2526083
Jaarapady,10.1486367,76.2486719
Jaarapady,10.1486241,76.24831
Thoppumpady,9.9353712,76.2619559
Kochu Palli,9.9339116,76.2646171
Pyari Junction,9.9321242,76.26629
BOT Palam,9.9314736,76.2675959
Airport,9.936565,76.2766891
Naval Base,9.9438694,76.2833096
Ravipuram,9.9597248,76.2891169
Valanjambalam,9.9645624,76.2889159
Padma,9.9818845,76.2827562
Shenoys,9.9759276,76.2842854
Thevara Junction,9.9485711,76.2912027
Thevara Junction,9.9488596,76.2915017
Atlantis,9.95557,76.2924186
Harber,9.9377099,76.2609862
Atlantis,9.9557013,76.2920414
Maanattuparambu,10.0528827,76.2154577
Dispensary,10.1543447,76.1883163
Ice Plant,10.1214014,76.2252058
Chathamma,9.8870757,76.339305
Saritha,9.9851217,76.2779591
St Alberts,9.985296,76.2785837
Saritha,9.9850732,76.2767274
Fortkochi Veli,9.9516476,76.2446297
Amaravathi,9.9569999,76.2448556
